Egg Number,Width ,Height,Width conversion,Height Conversion,Eccentricity,Sex
1,987,751,493.5,375.5,0.6488790236,0
2,1000,756,500,378,0.6545716156,0
3,979,719,489.5,359.5,0.6786921486,0
4,999,772,499.5,386,0.6346827882,1
5,1011,755,505.5,377.5,0.6650651281,0
6,931,750,465.5,375,0.5924796841,1
7,1024,755,512,377.5,0.6755603584,0
8,992,748,496,374,0.6568373876,0
9,1060,775,530,387.5,0.6822359476,0
10,991,783,495.5,391.5,0.6129637912,1
11,1056,787,528,393.5,0.6667682161,0
12,956,733,478,366.5,0.641962063,1
13,1001,753,500.5,376.5,0.6588803527,0
14,959,758,479.5,379,0.6125824763,1
15,994,766,497,383,0.637290395,1
16,998,750,499,375,0.6597296658,0
17,1030,759,515,379.5,0.676009176,0
18,1025,741,512.5,370.5,0.6909245976,0
19,1047,739,523.5,369.5,0.7083850773,0
20,936,715,468,357.5,0.6453477864,0
21,1033,786,516.5,393,0.6488801737,0
22,992,743,496,371.5,0.6625791127,0
23,1108,767,554,383.5,0.7216690249,0
24,1004,778,502,389,0.6320833589,1
25,1021,763,510.5,381.5,0.6644794219,0
26,1012,749,506,374.5,0.6724763876,0
27,1075,746,537.5,373,0.7200198303,0
28,947,733,473.5,366.5,0.6331571981,1
29,997,759,498.5,379.5,0.648418767,0
30,1007,741,503.5,370.5,0.6771456017,0
31,1108,736,554,368,0.7475016711,0
32,1033,794,516.5,397,0.6396875564,1
33,1034,791,517,395.5,0.6440417664,1
34,1003,760,501.5,380,0.6525718864,0
35,1047,780,523.5,390,0.6670804648,0
36,983,763,491.5,381.5,0.6304925253,1
37,1062,780,531,390,0.6786484325,0
38,952,734,476,367,0.6368249696,1
39,1084,781,542,390.5,0.6934760234,0
40,1045,750,522.5,375,0.6963489803,0
41,1030,789,515,394.5,0.6428174329,1
42,1010,734,505,367,0.6869203896,0
43,1075,755,537.5,377.5,0.7118558686,0
44,1104,785,552,392.5,0.7031407164,0
45,1017,759,508.5,379.5,0.6655955057,0
46,949,705,474.5,352.5,0.6694165625,0
47,1063,755,531.5,377.5,0.7039454937,0
48,1013,732,506.5,366,0.6912600051,0
49,1033,758,516.5,379,0.6793816592,0
50,956,732,478,366,0.6432093339,1
51,1047,803,523.5,401.5,0.6417030385,1
52,997,733,498.5,366.5,0.6778441568,0
53,1039,796,519.5,398,0.6426960393,1
54,953,730,476.5,365,0.6428380705,1
55,1009,799,504.5,399.5,0.6106856208,1
56,977,741,488.5,370.5,0.6517379609,0
57,978,735,489,367.5,0.6596946522,0
58,984,743,492,371.5,0.6556311685,0
59,1015,770,507.5,385,0.6515325389,0
60,1028,738,514,369,0.6961474456,0
61,1016,779,508,389.5,0.6419669816,1
62,1007,730,503.5,365,0.6888272559,0
63,1024,747,512,373.5,0.6839891435,0
64,1000,729,500,364.5,0.684513696,0
65,989,787,494.5,393.5,0.6056209273,1
66,977,734,488.5,367,0.6599842595,0
67,1040,760,520,380,0.6826245904,0
68,1052,747,526,373.5,0.7041249956,0
69,996,750,498,375,0.6580067289,0
70,942,722,471,361,0.6422987822,1
71,1076,762,538,381,0.7060334971,0
72,1029,769,514.5,384.5,0.6644558707,0
73,1072,768,536,384,0.6976713966,0
74,1011,750,505.5,375,0.6705771892,0
75,1047,722,523.5,361,0.7242006583,0
76,982,755,491,377.5,0.6394422823,1
77,1012,751,506,375.5,0.6702948726,0
78,965,743,482.5,371.5,0.6381064097,1
79,1048,754,524,377,0.6945280269,0
80,1019,738,509.5,369,0.6895485613,0
81,978,741,489,370.5,0.6526393517,0
82,990,726,495,363,0.6798692685,0
83,1095,764,547.5,382,0.7163735998,0
84,1010,751,505,375.5,0.6686643761,0
85,1025,784,512.5,392,0.6441751086,0
86,1057,748,528.5,374,0.7065499265,0
87,1021,726,510.5,363,0.7031236702,0
88,1055,741,527.5,370.5,0.7118123693,0
89,1013,760,506.5,380,0.661157887,0
90,981,776,490.5,388,0.6117779275,1
91,1099,756,549.5,378,0.7258072877,0
