Egg Number,Width,Height,Egg Shape Index,Sphericity,Eccentricity,Sex
1,987,751,0.7608915907,0.587363682,0.6488790236,0
2,1000,756,0.756,0.576108288,0.6545716156,0
3,979,719,0.7344228805,0.5281743814,0.6786921486,0
4,999,772,0.7727727728,0.6153102829,0.6346827882,1
5,1011,755,0.746785361,0.5552980197,0.6650651281,0
6,931,750,0.8055853921,0.6970653318,0.5924796841,1
7,1024,755,0.7373046875,0.5344163316,0.6755603584,0
8,992,748,0.7540322581,0.5716214454,0.6568373876,0
9,1060,775,0.7311320755,0.5211062096,0.6822359476,0
10,991,783,0.790110999,0.6576624701,0.6129637912,1
11,1056,787,0.7452651515,0.5519137057,0.6667682161,0
12,956,733,0.7667364017,0.6010034758,0.641962063,1
13,1001,753,0.7522477522,0.5675726149,0.6588803527,0
14,959,758,0.7904066736,0.6584010761,0.6125824763,1
15,994,766,0.7706237425,0.6101911329,0.637290395,1
16,998,750,0.751503006,0.5658885451,0.6597296658,0
17,1030,759,0.7368932039,0.5335220709,0.676009176,0
18,1025,741,0.7229268293,0.5037577776,0.6909245976,0
19,1047,739,0.70582617,0.4688479342,0.7083850773,0
20,936,715,0.7638888889,0.5943322759,0.6453477864,0
21,1033,786,0.7608906099,0.5873614106,0.6488801737,0
22,992,743,0.7489919355,0.5602349021,0.6625791127,0
23,1108,767,0.6922382671,0.4422883981,0.7216690249,0
24,1004,778,0.7749003984,0.6204065713,0.6320833589,1
25,1021,763,0.7473065622,0.5564615027,0.6644794219,0
26,1012,749,0.7401185771,0.5405584395,0.6724763876,0
27,1075,746,0.6939534884,0.4455842446,0.7200198303,0
28,947,733,0.7740232313,0.6183021028,0.6331571981,1
29,997,759,0.7612838516,0.5882725575,0.648418767,0
30,1007,741,0.7358490566,0.5312573467,0.6771456017,0
31,1108,736,0.6642599278,0.3907985093,0.7475016711,0
32,1033,794,0.7686350436,0.605479271,0.6396875564,1
33,1034,791,0.7649903288,0.596906861,0.6440417664,1
34,1003,760,0.7577268195,0.5800650703,0.6525718864,0
35,1047,780,0.7449856734,0.5512930274,0.6670804648,0
36,983,763,0.7761953204,0.6235220222,0.6304925253,1
37,1062,780,0.7344632768,0.5282615416,0.6786484325,0
38,952,734,0.7710084034,0.6111053294,0.6368249696,1
39,1084,781,0.7204797048,0.4986593788,0.6934760234,0
40,1045,750,0.7177033493,0.4929168398,0.6963489803,0
41,1030,789,0.7660194175,0.5993190358,0.6428174329,1
42,1010,734,0.7267326733,0.5117558254,0.6869203896,0
43,1075,755,0.7023255814,0.461906633,0.7118558686,0
44,1104,785,0.7110507246,0.4793364848,0.7031407164,0
45,1017,759,0.7463126844,0.5542442619,0.6655955057,0
46,949,705,0.7428872497,0.5466476058,0.6694165625,0
47,1063,755,0.7102539981,0.4777270117,0.7039454937,0
48,1013,732,0.7226061204,0.5030876355,0.6912600051,0
49,1033,758,0.733785092,0.5267995423,0.6793816592,0
50,956,732,0.7656903766,0.5985470614,0.6432093339,1
51,1047,803,0.7669531996,0.6015134288,0.6417030385,1
52,997,733,0.7352056169,0.5298649418,0.6778441568,0
53,1039,796,0.7661212705,0.5995581311,0.6426960393,1
54,953,730,0.7660020986,0.5992783869,0.6428380705,1
55,1009,799,0.7918731417,0.6620725405,0.6106856208,1
56,977,741,0.758444217,0.5817142054,0.6517379609,0
57,978,735,0.7515337423,0.5659579822,0.6596946522,0
58,984,743,0.7550813008,0.5740105606,0.6556311685,0
59,1015,770,0.7586206897,0.5821203548,0.6515325389,0
60,1028,738,0.7178988327,0.493319722,0.6961474456,0
61,1016,779,0.7667322835,0.6009937918,0.6419669816,1
62,1007,730,0.7249255214,0.5079475914,0.6888272559,0
63,1024,747,0.7294921875,0.517607633,0.6839891435,0
64,1000,729,0.729,0.516560652,0.684513696,0
65,989,787,0.7957532861,0.6718526877,0.6056209273,1
66,977,734,0.7512794268,0.5653836239,0.6599842595,0
67,1040,760,0.7307692308,0.5203307541,0.6826245904,0
68,1052,747,0.7100760456,0.4773680215,0.7041249956,0
69,996,750,0.7530120482,0.5693043622,0.6580067289,0
70,942,722,0.7664543524,0.6003404701,0.6422987822,1
71,1076,762,0.7081784387,0.4735510857,0.7060334971,0
72,1029,769,0.7473275024,0.5565082817,0.6644558707,0
73,1072,768,0.7164179104,0.4902730722,0.6976713966,0
74,1011,750,0.7418397626,0.5443385098,0.6705771892,0
75,1047,722,0.6895893028,0.4372303336,0.7242006583,0
76,982,755,0.7688391039,0.6059616342,0.6394422823,1
77,1012,751,0.7420948617,0.5449002537,0.6702948726,0
78,965,743,0.7699481865,0.6085877941,0.6381064097,1
79,1048,754,0.7194656489,0.4965567916,0.6945280269,0
80,1019,738,0.7242394504,0.5065067881,0.6895485613,0
81,978,741,0.7576687117,0.57993163,0.6526393517,0
82,990,726,0.7333333333,0.5258271605,0.6798692685,0
83,1095,764,0.697716895,0.4528730268,0.7163735998,0
84,1010,751,0.7435643564,0.5481436991,0.6686643761,0
85,1025,784,0.7648780488,0.5966440699,0.6441751086,0
86,1057,748,0.7076631977,0.4725182298,0.7065499265,0
87,1021,726,0.7110675808,0.4793705751,0.7031236702,0
88,1055,741,0.7023696682,0.4619936238,0.7118123693,0
89,1013,760,0.7502467917,0.5630554641,0.661157887,0
90,981,776,0.7910295617,0.6599588821,0.6117779275,1
91,1099,756,0.6878980892,0.4340213024,0.7258072877,0
92,1003,775,0.7726819541,0.6150933689,0.6347933504,1
93,1063,784,0.7375352775,0.5349179002,0.6753086068,0
94,981,697,0.7104994903,0.4782225477,0.7036977151,0
95,1020,721,0.7068627451,0.470916617,0.7073507331,0
96,987,755,0.7649442756,0.5967990642,0.6440964642,1
97,1048,764,0.7290076336,0.5165768794,0.6845055662,0
98,1029,763,0.7414965986,0.5435834506,0.6709566262,0
99,1062,741,0.697740113,0.4529182393,0.7163509857,0
100,1054,741,0.7030360531,0.4633098441,0.7111542083,0
101,1008,746,0.7400793651,0.5404725266,0.6725195413,0
102,973,747,0.7677286742,0.6033398643,0.6407750641,1
103,1114,749,0.6723518851,0.4052552196,0.7402316817,0
104,965,743,0.7699481865,0.6085877941,0.6381064097,1
105,1056,717,0.6789772727,0.4173538739,0.73415929,0
106,957,724,0.7565308255,0.5773226838,0.6539580339,0
107,1041,775,0.7444764649,0.5501633497,0.6676487049,0
108,965,733,0.7595854922,0.5843441768,0.6504074723,0
109,1037,737,0.7107039537,0.4786355268,0.7034912154,0
110,1068,737,0.6900749064,0.4381546672,0.7237379523,0
111,1100,772,0.7018181818,0.4609062339,0.7123561186,0
112,986,729,0.7393509128,0.5388781527,0.673320301,0
113,1034,778,0.752417795,0.5679575947,0.6586861634,0
114,930,728,0.7827956989,0.6395640277,0.622278791,1
115,1050,760,0.7238095238,0.5056052982,0.6899998357,0
116,1069,803,0.7511693171,0.5651350676,0.6601095796,0
117,1026,759,0.7397660819,0.5397864543,0.672864135,0
118,950,740,0.7789473684,0.6301777713,0.6270893056,1
119,1112,779,0.7005395683,0.4583917027,0.7136135601,0
120,1006,740,0.7355864811,0.5306888385,0.6774308295,0
121,1015,760,0.7487684729,0.5597336115,0.6628316332,0
122,972,748,0.7695473251,0.6076377339,0.6385897857,1
123,1027,730,0.7108081792,0.4788461348,0.7033859058,0
124,998,735,0.7364729459,0.5326097716,0.6764669984,0
125,1000,764,0.764,0.5945916587,0.6452162428,0
126,956,734,0.7677824268,0.6034666018,0.6407106563,1
127,1036,723,0.6978764479,0.4531837849,0.7162181675,0
128,986,748,0.7586206897,0.5821203548,0.6515325389,0
129,1034,757,0.7321083172,0.5231964142,0.6811882353,0
130,925,708,0.7654054054,0.5978790165,0.6435484173,1
131,1040,754,0.725,0.5081041667,0.6887488657,0
132,981,739,0.753312946,0.5699871038,0.6576622275,0
133,1024,776,0.7578125,0.5802618663,0.6524723863,0
134,965,716,0.7419689119,0.5446228563,0.6704342874,0
135,1060,779,0.7349056604,0.5292166677,0.6781693523,0
